Symbol,Name,Market Cap,Price,Circulating Supply,Cryptocurrency
UTC,UltraCoin,"$804,758",$0.018117,44419060,coin
HTC,HitCoin,"$790,539",$0.000072,10996318099,coin
SDC,ShadowCash,"$778,778",$0.116320,6695133,coin
TES,TeslaCoin,"$741,949",$0.010117,73333275,coin
RC,RussiaCoin,"$715,526",$0.085407,8377873,coin
NOBL,NobleCoin,"$675,960",$0.000292,2311465331,coin
METAL,MetalCoin,"$669,162",$0.008699,76925527,coin
ITI,iTicoin,"$633,293",$19.79,32000,coin
MAX,MaxCoin,"$621,025",$0.010209,60834109,coin
AU,AurumCoin,"$580,100",$1.96,296216,coin
HBN,HoboNickels,"$575,080",$0.009633,59696358,coin
MAC,Machinecoin,"$569,162",$0.028248,20148600,coin
KOBO,Kobocoin,"$546,846",$0.022139,24700248,coin
ORB,Orbitcoin,"$538,017",$0.175081,3072963,coin
BTB,BitBar,"$519,383",$14.83,35024,coin
BITS,Bitstar,"$506,058",$0.021927,23079737,coin
TAG,TagCoin,"$483,970",$0.082403,5873181,coin
UNIT,Universal Currency,"$470,135",$0.036035,13046431,coin
FC2,FuelCoin,"$467,495",$0.004601,101606375,coin
MZC,MazaCoin,"$403,348",$0.000301,1341145344,coin
V,Version,"$390,130",$0.000840,464618839,coin
PIGGY,Piggycoin,"$381,891",$0.000785,486253135,coin
AMBER,AmberCoin,"$367,568",$0.008411,43699481,coin
SMC,SmartCoin,"$365,992",$0.015615,23437755,coin
BRIT,BritCoin,"$349,226",$0.016420,21268092,coin
STS,Stress,"$324,285",$0.000574,565134332,coin
UNI,Universe,"$323,472",$0.032629,9913663,coin
TROLL,Trollcoin,"$317,436",$0.000563,563975723,coin
VAL,Valorbit,"$316,816",$0.000072,4405804430,coin
TOR,Torcoin,"$303,769",$0.960751,316179,coin
BUCKS,SwagBucks,"$296,702",$0.968147,306464,coin
GLC,GlobalCoin,"$295,169",$0.004529,65171010,coin
DAXX,DaxxCoin,"$294,662",$0.000596,494102050,coin
CARBON,Carboncoin,"$279,587",$0.000018,15392004513,coin
GAIA,GAIA,"$278,448",$0.011553,24101381,coin
HONEY,Honey,"$267,868",$0.885375,302547,coin
RBIES,Rubies,"$267,422",$0.025676,10415252,coin
WAY,WayGuide,"$266,105",$0.002660,100040708,coin
BTCS,Bitcoin Scrypt,"$263,058",$0.016040,16399738,coin
TALK,BTCtalkcoin,"$262,854",$0.004026,65290635,coin
PR,Prototanium,"$253,289",$1.29,195724,coin
PXC,Phoenixcoin,"$251,465",$0.004069,61800079,coin
TIT,Titcoin,"$250,000",$0.005010,49898202,coin
VLT,Veltor,"$248,629",$0.448098,554855,coin
I0C,I0Coin,"$243,635",$0.011610,20984056,coin
